epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.192,1.34928,3.37659,1.21028,0.00322,0.89308,0.04301,0.02462,1.07267,4.29522,1.08912,0.000545744,0.000545744,0.000545744
2,242.01,1.20582,2.41243,1.13409,0.3483,0.2381,0.17503,0.11731,1.26875,3.96765,1.2626,0.00109051,0.00109051,0.00109051
3,364.066,1.27161,2.1153,1.16895,0.44577,0.78292,0.48325,0.31758,1.21345,2.635,1.15343,0.00162427,0.00162427,0.00162427
4,482.452,1.26348,1.86541,1.17813,0.4476,0.65353,0.44752,0.29001,1.15176,2.09137,1.12679,0.00161749,0.00161749,0.00161749
5,602.137,1.19174,1.66149,1.12921,0.42685,0.82946,0.47124,0.3236,1.13083,1.82222,1.10568,0.00160099,0.00160099,0.00160099
6,721.264,1.16553,1.53884,1.12101,0.43525,0.75396,0.45794,0.32403,1.10377,1.69509,1.10638,0.00158448,0.00158448,0.00158448
7,842.413,1.17562,1.44436,1.1236,0.4222,0.78041,0.45055,0.31914,1.09283,1.48538,1.07037,0.00156798,0.00156798,0.00156798
8,963.445,1.11312,1.379,1.09288,0.4412,0.7865,0.46922,0.32387,1.06286,1.38847,1.08113,0.00155148,0.00155148,0.00155148
9,1082.98,1.13808,1.33386,1.1111,0.46093,0.74575,0.47091,0.33215,1.08863,1.38841,1.10318,0.00153497,0.00153497,0.00153497
10,1206.1,1.07428,1.30164,1.06595,0.4329,0.75945,0.47083,0.32689,1.06216,1.37955,1.05428,0.00151847,0.00151847,0.00151847
11,1325.73,1.09018,1.29354,1.08319,0.44542,0.74672,0.46911,0.33045,1.06414,1.42616,1.08557,0.00150197,0.00150197,0.00150197
12,1445.34,1.13506,1.2677,1.10019,0.45109,0.82134,0.49382,0.34718,1.08317,1.27063,1.07507,0.00148546,0.00148546,0.00148546
13,1566.61,1.07023,1.24926,1.07845,0.44541,0.76521,0.46308,0.31448,1.10217,1.35081,1.11508,0.00146896,0.00146896,0.00146896
14,1687.08,1.07776,1.22747,1.06722,0.42284,0.81756,0.44836,0.31467,1.05335,1.32685,1.06772,0.00145246,0.00145246,0.00145246
15,1807.24,1.0723,1.21558,1.06391,0.4217,0.74356,0.40233,0.27275,1.1291,1.45592,1.14011,0.00143595,0.00143595,0.00143595
16,1928.33,1.05488,1.18965,1.05552,0.44761,0.77418,0.44077,0.3155,1.04568,1.29688,1.08985,0.00141945,0.00141945,0.00141945
17,2048.74,1.0483,1.1894,1.0622,0.40999,0.86636,0.44171,0.29987,1.08841,1.42934,1.05601,0.00140295,0.00140295,0.00140295
18,2170.04,1.00991,1.18105,1.05077,0.44278,0.8274,0.46083,0.33,1.00874,1.3504,1.04732,0.00138644,0.00138644,0.00138644
19,2292.89,1.05694,1.20292,1.06877,0.45146,0.78522,0.47708,0.33783,1.01932,1.20241,1.03806,0.00136994,0.00136994,0.00136994
20,2415.93,1.02347,1.12811,1.05027,0.42819,0.78682,0.44295,0.31399,1.0003,1.33407,1.04749,0.00135344,0.00135344,0.00135344
21,2540.5,1.0268,1.1187,1.05823,0.43165,0.8134,0.43597,0.30701,1.08387,1.43992,1.09523,0.00133693,0.00133693,0.00133693
22,2664.99,0.99353,1.12494,1.04637,0.39752,0.81766,0.43324,0.30578,0.96664,1.37682,1.04449,0.00132043,0.00132043,0.00132043
23,2787.13,1.00411,1.11007,1.04677,0.46202,0.74343,0.47172,0.34337,0.98788,1.22687,1.03063,0.00130393,0.00130393,0.00130393
24,2909.79,0.99128,1.1075,1.03536,0.43469,0.84412,0.4666,0.33255,1.0222,1.21085,1.04636,0.00128742,0.00128742,0.00128742
25,3033.55,1.00826,1.10019,1.03542,0.43434,0.80815,0.46782,0.33297,1.03367,1.20792,1.05165,0.00127092,0.00127092,0.00127092
26,3158.4,0.99123,1.08369,1.04127,0.42715,0.86535,0.45355,0.32463,1.01288,1.21871,1.03432,0.00125442,0.00125442,0.00125442
27,3280.04,1.04297,1.10461,1.04998,0.4587,0.79505,0.48349,0.33281,1.14367,1.32106,1.12192,0.00123791,0.00123791,0.00123791
28,3402.73,1.01474,1.09246,1.03306,0.46606,0.81639,0.50679,0.36553,0.98751,1.22256,1.03378,0.00122141,0.00122141,0.00122141
29,3524.05,0.96461,1.04388,1.02918,0.39654,0.80894,0.41178,0.29173,0.95842,1.44989,1.02274,0.00120491,0.00120491,0.00120491
30,3641.74,0.96208,1.03918,1.02657,0.40547,0.85616,0.42329,0.29644,0.99507,1.36924,1.05587,0.0011884,0.0011884,0.0011884
31,3758.4,0.95667,1.05236,1.01784,0.45011,0.85886,0.45995,0.32048,1.01968,1.17007,1.03088,0.0011719,0.0011719,0.0011719
32,3874.5,0.98207,1.04161,1.03853,0.39909,0.84863,0.42633,0.29908,1.03659,1.52717,1.06087,0.0011554,0.0011554,0.0011554
33,3992.49,0.97603,1.01483,1.02361,0.43238,0.80617,0.43682,0.30798,1.01755,1.45187,1.0524,0.00113889,0.00113889,0.00113889
34,4109.17,0.97313,1.02154,1.02703,0.43358,0.79866,0.45639,0.33628,1.00331,1.3231,1.03934,0.00112239,0.00112239,0.00112239
35,4225.28,0.98312,1.02654,1.03428,0.42246,0.85607,0.43436,0.31626,1.00035,1.28376,1.04006,0.00110589,0.00110589,0.00110589
36,4340.5,0.93909,0.9867,1.01761,0.39832,0.86245,0.4156,0.30367,0.98179,1.56358,1.04191,0.00108938,0.00108938,0.00108938
37,4455.56,0.95856,0.9634,1.01438,0.42484,0.86525,0.41979,0.30395,1.01201,1.46101,1.04464,0.00107288,0.00107288,0.00107288
38,4570.73,0.94831,0.96585,1.0091,0.44166,0.86367,0.47034,0.33531,1.02923,1.27506,1.07302,0.00105638,0.00105638,0.00105638
39,4685.55,0.92848,0.96757,1.01077,0.42981,0.83619,0.4425,0.31705,0.98698,1.31464,1.0486,0.00103987,0.00103987,0.00103987
40,4800.6,0.95175,0.98875,1.01414,0.41906,0.86509,0.45105,0.32162,1.03483,1.26541,1.06247,0.00102337,0.00102337,0.00102337
41,4915.62,0.93278,0.95045,1.01877,0.41409,0.86837,0.41791,0.31032,0.98977,1.38127,1.02271,0.00100687,0.00100687,0.00100687
42,5030.36,0.94331,0.94747,0.99513,0.39808,0.82764,0.4213,0.302,0.99913,1.50616,1.03519,0.000990365,0.000990365,0.000990365
